scorer,date,goals,cumsum
Aaron Cresswell,2014-11-23,1,1
Aaron Cresswell,2015-04-05,1,2
Aaron Cresswell,2015-12-20,1,3
Aaron Cresswell,2016-04-17,1,4
Aaron Cresswell,2018-04-29,1,5
Aaron Hughes,1999-09-19,1,1
Aaron Hughes,2000-03-19,1,2
Aaron Hughes,2002-11-10,1,3
Aaron Hughes,2004-08-22,1,4
Aaron Hughes,2010-12-26,1,5
Aaron Lennon,2006-03-12,1,1
Aaron Lennon,2006-04-30,1,2
Aaron Lennon,2006-11-05,1,3
Aaron Lennon,2006-11-26,1,4
Aaron Lennon,2007-02-25,1,5
Aaron Lennon,2007-11-11,1,6
Aaron Lennon,2008-01-13,1,7
Aaron Lennon,2008-10-26,1,8
Aaron Lennon,2009-01-25,1,9
Aaron Lennon,2009-02-22,1,10
Aaron Lennon,2009-03-01,2,12
Aaron Lennon,2009-08-23,2,14
Aaron Lennon,2009-11-22,1,15
Aaron Lennon,2010-11-28,1,16
Aaron Lennon,2010-12-26,1,17
Aaron Lennon,2011-01-16,1,18
Aaron Lennon,2011-11-06,1,19
Aaron Lennon,2011-11-27,1,20
Aaron Lennon,2012-01-08,1,21
Aaron Lennon,2012-10-07,1,22
Aaron Lennon,2012-11-25,1,23
Aaron Lennon,2012-12-23,1,24
Aaron Lennon,2013-03-03,1,25
Aaron Lennon,2013-12-29,1,26
Aaron Lennon,2015-03-22,1,27
Aaron Lennon,2015-04-05,1,28
Aaron Lennon,2016-01-03,1,29
Aaron Lennon,2016-01-31,2,31
Aaron Lennon,2016-02-28,2,33
Aaron Mooy,2017-08-20,1,1
Aaron Mooy,2017-10-15,1,2
Aaron Mooy,2017-12-10,2,4
Aaron Ramsey,2009-08-16,1,1
Aaron Ramsey,2009-11-29,1,2
Aaron Ramsey,2009-12-27,1,3
Aaron Ramsey,2011-05-01,1,4
Aaron Ramsey,2011-10-02,1,5
Aaron Ramsey,2012-02-05,1,6
Aaron Ramsey,2013-05-12,1,7
Aaron Ramsey,2013-09-08,2,9
Aaron Ramsey,2013-09-22,2,11
Aaron Ramsey,2013-10-13,1,12
Aaron Ramsey,2013-10-27,1,13
Aaron Ramsey,2013-11-24,2,15
Aaron Ramsey,2014-04-20,1,16
Aaron Ramsey,2014-05-11,1,17
Aaron Ramsey,2014-08-10,1,18
Aaron Ramsey,2014-08-17,1,19
Aaron Ramsey,2014-11-30,1,20
Aaron Ramsey,2015-03-08,1,21
Aaron Ramsey,2015-04-05,1,22
Aaron Ramsey,2015-05-03,1,23
Aaron Ramsey,2015-10-11,1,24
Aaron Ramsey,2015-11-29,1,25
Aaron Ramsey,2015-12-13,1,26
Aaron Ramsey,2016-01-10,1,27
Aaron Ramsey,2016-02-28,1,28
Aaron Ramsey,2017-05-21,1,29
Aaron Ramsey,2017-08-06,1,30
Aaron Ramsey,2017-10-22,2,32
Aaron Ramsey,2018-01-28,3,35
Aaron Ramsey,2018-04-22,1,36
Aaron Wilbraham,2012-03-25,1,1
Abdoulaye Doucouré,2017-02-26,1,1
Abdoulaye Doucouré,2017-08-06,1,2
Abdoulaye Doucouré,2017-09-03,1,3
Abdoulaye Doucouré,2017-09-24,1,4
Abdoulaye Doucouré,2017-10-15,1,5
Abdoulaye Doucouré,2017-11-26,1,6
Abdoulaye Doucouré,2017-12-10,1,7
Abdoulaye Doucouré,2018-01-07,1,8
Abdoulaye Faye,2005-11-27,1,1
Abdoulaye Faye,2006-11-19,1,2
Abdoulaye Faye,2006-12-24,1,3
Abdoulaye Faye,2008-02-17,1,4
Abdoulaye Faye,2008-12-28,1,5
Abdoulaye Faye,2009-04-05,1,6
Abdoulaye Faye,2009-09-06,1,7
Abdoulaye Faye,2010-01-03,1,8
Abdoulaye Faye,2010-08-08,1,9
Abel Hernández,2014-09-14,1,1
Abel Hernández,2014-09-21,1,2
Abel Hernández,2014-10-12,1,3
Abel Hernández,2015-03-22,1,4
Abel Hernández,2016-08-14,1,5
Abel Hernández,2017-01-08,2,7
Abel Hernández,2017-04-02,1,8
Abel Xavier,2002-02-03,1,1
Abel Xavier,2007-01-14,1,2
Abou Diaby,2006-03-26,1,1
Abou Diaby,2007-03-11,1,2
Abou Diaby,2007-09-16,1,3
Abou Diaby,2008-12-21,1,4
Abou Diaby,2009-03-15,1,5
Abou Diaby,2009-05-24,1,6
Abou Diaby,2009-08-16,2,8
Abou Diaby,2009-10-11,1,9
Abou Diaby,2009-12-13,1,10
Abou Diaby,2009-12-27,1,11
Abou Diaby,2010-02-07,1,12
Abou Diaby,2010-08-15,1,13
Abou Diaby,2011-04-10,1,14
Adam Drury,2005-01-16,1,1
Adam Johnson,2006-04-30,1,1
Adam Johnson,2008-05-11,1,2
Adam Johnson,2010-03-14,1,3
Adam Johnson,2010-10-03,1,4
Adam Johnson,2010-12-05,1,5
Adam Johnson,2010-12-26,1,6
Adam Johnson,2011-04-03,1,7
Adam Johnson,2011-09-25,1,8
Adam Johnson,2011-10-09,1,9
Adam Johnson,2011-10-23,1,10
Adam Johnson,2011-11-27,1,11
Adam Johnson,2011-12-18,1,12
Adam Johnson,2012-04-08,1,13
Adam Johnson,2012-11-04,1,14
Adam Johnson,2012-12-02,1,15
Adam Johnson,2012-12-23,1,16
Adam Johnson,2013-01-06,1,17
Adam Johnson,2013-04-14,1,18
Adam Johnson,2013-12-01,1,19
Adam Johnson,2014-01-05,3,22
Adam Johnson,2014-01-12,1,23
Adam Johnson,2014-01-26,2,25
Adam Johnson,2014-03-30,1,26
Adam Johnson,2014-09-07,1,27
Adam Johnson,2014-12-21,2,29
Adam Johnson,2014-12-28,1,30
Adam Johnson,2015-10-25,1,31
Adam Johnson,2016-01-31,1,32
Adam Lallana,2012-10-14,1,1
Adam Lallana,2012-11-25,1,2
Adam Lallana,2013-03-31,1,3
Adam Lallana,2013-10-06,1,4
Adam Lallana,2013-10-13,1,5
Adam Lallana,2013-11-03,1,6
Adam Lallana,2013-12-22,1,7
Adam Lallana,2014-01-05,1,8
Adam Lallana,2014-01-26,2,10
Adam Lallana,2014-03-23,2,12
Adam Lallana,2014-09-28,1,13
Adam Lallana,2014-11-30,1,14
Adam Lallana,2014-12-28,2,16
Adam Lallana,2015-05-10,1,17
Adam Lallana,2016-01-17,1,18
Adam Lallana,2016-01-31,1,19
Adam Lallana,2016-02-28,1,20
Adam Lallana,2016-04-17,1,21
Adam Lallana,2016-08-14,1,22
Adam Lallana,2016-09-04,1,23
Adam Lallana,2016-09-18,1,24
Adam Lallana,2016-12-11,3,27
Adam Lallana,2016-12-25,1,28
Adam Lallana,2017-05-21,1,29
Adam Le Fondre,2012-08-12,1,1
Adam Le Fondre,2012-11-11,2,3
Adam Le Fondre,2012-11-25,1,4
Adam Le Fondre,2012-12-16,1,5
Adam Le Fondre,2013-01-06,1,6
Adam Le Fondre,2013-01-13,2,8
Adam Le Fondre,2013-01-27,2,10
Adam Le Fondre,2013-04-28,1,11
Adam Le Fondre,2013-05-19,1,12
Adam Smith,2015-11-22,1,1
Adam Smith,2015-12-13,1,2
Adam Smith,2016-08-14,1,3
Adam Smith,2018-02-18,1,4
Adam Tanner,1995-01-01,1,1
Adam Tanner,1995-01-08,1,2
Adama Diomandé,2016-08-07,1,1
Adama Diomandé,2016-12-04,1,2
Ade Akinbiyi,2000-09-03,1,1
Ade Akinbiyi,2000-09-24,1,2
Ade Akinbiyi,2000-11-26,1,3
Ade Akinbiyi,2000-12-10,1,4
Ade Akinbiyi,2000-12-24,1,5
Ade Akinbiyi,2001-02-18,1,6
Ade Akinbiyi,2001-02-25,1,7
Ade Akinbiyi,2001-04-01,1,8
Ade Akinbiyi,2001-04-08,1,9
