formationId,formationName,vertical,horizontal
2,442,0,5
2,442,3,1
2,442,3,9
2,442,5.5,3.5
2,442,2.5,3.5
2,442,2.5,6.5
2,442,5.5,1
2,442,5.5,6.5
2,442,8.5,6.5
2,442,8.5,3.5
2,442,5.5,9
3,41212,0,5
3,41212,2.5,1
3,41212,2.5,9
3,41212,4,5
3,41212,2,3.5
3,41212,2,6.5
3,41212,5,2
3,41212,6.5,5
3,41212,8.5,6.5
3,41212,8.5,3.5
3,41212,5,8
4,433,0,5
4,433,3,1
4,433,3,9
4,433,5,5
4,433,2.5,3.5
4,433,2.5,6.5
4,433,5,2
4,433,5,8
4,433,8,5
4,433,8,2
4,433,8,8
5,451,0,5
5,451,3,1
5,451,3,9
5,451,5,3
5,451,2.5,3.5
5,451,2.5,6.5
5,451,6,1
5,451,5,7
5,451,8.5,5
5,451,4,5
5,451,6,9
6,4411,0,5
6,4411,3,1
6,4411,3,9
6,4411,5,3.5
6,4411,2.5,3.5
6,4411,2.5,6.5
6,4411,5,1
6,4411,5,6.5
6,4411,8.5,5
6,4411,6.5,5
6,4411,5,9
7,4141,0,5
7,4141,3,1
7,4141,3,9
7,4141,4,5
7,4141,2.5,3.5
7,4141,2.5,6.5
7,4141,6,1
7,4141,6,3.5
7,4141,8.5,5
7,4141,6,6.5
7,4141,6,9
8,4231,0,5
8,4231,3,1
8,4231,3,9
8,4231,4.5,6.5
8,4231,2.5,3.5
8,4231,2.5,6.5
8,4231,6.5,2
8,4231,4.5,3.5
8,4231,8.5,5
8,4231,6.5,5
8,4231,6.5,8
9,4321,0,5
9,4321,3,1
9,4321,3,9
9,4321,4.5,5
9,4321,2.5,3.5
9,4321,2.5,6.5
9,4321,4.5,8
9,4321,4.5,2
9,4321,8.5,5
9,4321,6.5,3.5
9,4321,6.5,6.5
10,532,0,5
10,532,4,1
10,532,4,9
10,532,2.5,8
10,532,2.5,5
10,532,2.5,2
10,532,6,2
10,532,6,5
10,532,8.5,6.5
10,532,8.5,3.5
10,532,6,8
11,541,0,5
11,541,4,1
11,541,4,9
11,541,2.5,8
11,541,2.5,5
11,541,2.5,2
11,541,6,1
11,541,6,3.5
11,541,8.5,5
11,541,6,6.5
11,541,6,9
12,352,0,5
12,352,6,1
12,352,6,9
12,352,2,8
12,352,2,5
12,352,2,2
12,352,5,3
12,352,5,7
12,352,8.5,3.5
12,352,8.5,6.5
12,352,4,5
13,343,0,5
13,343,5.5,1
13,343,5.5,9
13,343,2.5,8
13,343,2.5,5
13,343,2.5,2
13,343,5.5,3.5
13,343,5.5,6.5
13,343,8.5,5
13,343,7.5,2.5
13,343,7.5,7.5
15,4222,0,5
15,4222,2.5,1
15,4222,2.5,9
15,4222,4,3.5
15,4222,2,3.5
15,4222,2,6.5
15,4222,6,3.5
15,4222,4,6.5
15,4222,8.5,6.5
15,4222,8.5,3.5
15,4222,6,6.5
16,3511,0,5
16,3511,6,1
16,3511,6,9
16,3511,2,8
16,3511,2,5
16,3511,2,2
16,3511,5,3
16,3511,5,7
16,3511,8.5,5
16,3511,6.5,5
16,3511,4,5
17,3421,0,5
17,3421,5,1
17,3421,5,9
17,3421,2.5,8
17,3421,2.5,5
17,3421,2.5,2
17,3421,5,3.5
17,3421,5,6.5
17,3421,8.5,5
17,3421,7,3.5
17,3421,7,6.5
18,3412,0,5
18,3412,5,1
18,3412,5,9
18,3412,2.5,8
18,3412,2.5,5
18,3412,2.5,2
18,3412,5,3.5
18,3412,5,6.5
18,3412,6.5,5
18,3412,8.5,3.5
18,3412,8.5,6.5
19,3142,0,5
19,3142,5.5,1
19,3142,5.5,9
19,3142,2,5
19,3142,2,2
19,3142,2,8
19,3142,5.5,3.5
19,3142,3.75,5
19,3142,8.5,3.5
19,3142,8.5,6.5
19,3142,5.5,6.5
20,343d,0,5
20,343d,5.5,2.5
20,343d,5.5,7.5
20,343d,2.5,8
20,343d,2.5,5
20,343d,2.5,2
20,343d,6.5,5
20,343d,4.5,5
20,343d,8.5,5
20,343d,8,2
20,343d,8,7.5
21,4132,0,5
21,4132,2.5,1
21,4132,2.5,9
21,4132,4,5
21,4132,2,3.5
21,4132,2,6.5
21,4132,6,2
21,4132,6,5
21,4132,8.5,4
21,4132,8.5,6
21,4132,6,8
23,4312,0,5
23,4312,2.5,1
23,4312,2.5,9
23,4312,4,5
23,4312,2,3.5
23,4312,2,6.5
23,4312,5,2
23,4312,6.5,5
23,4312,8.5,3.5
23,4312,8.5,6.5
23,4312,5,8
25,3331,0,5
25,3331,4.5,2
25,3331,4.5,8
25,3331,2.5,8
25,3331,2.5,5
25,3331,2.5,2
25,3331,6.5,5
25,3331,4.5,5
25,3331,8.5,5
25,3331,6.5,1.5
25,3331,6.5,8.5
